driver_id,total_fare,avg_distance,batch_id
d009,38.07,3.1,1
d023,83.14,20.555,1
d003,19.63,13.43,1
d001,86.97999999999999,11.067499999999999,1
d025,96.36,15.835,1
d019,131.38,10.760000000000002,1
d021,88.12,11.245,1
d012,8.38,27.02,1
d007,65.88,28.03,1
d004,239.18,18.654,1
d010,37.459999999999994,9.745,1
d002,156.19,5.54,1
d006,79.57,9.24,1
d016,74.47,18.61,1
d008,249.05,10.075000000000001,1
d018,89.94999999999999,14.915,1
d020,39.15,15.795000000000002,1
d011,123.93,4.12,1
d022,67.16,15.319999999999999,1
d014,85.25,17.11,1
d017,76.06,15.075,1
